"ymin","ymax","x","y","fill","PANEL","group","flipped_aes","colour","linewidth","linetype","alpha"
1.26801469228463,2.11270388520872,19997,1.26801469228463,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.06148363952666,2.24499892529624,20028,1.06148363952666,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.35514609707464,2.17403384652128,20058,1.35514609707464,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.27489953479078,2.67419437512534,20089,1.27489953479078,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.23616126616859,2.31577728328713,20120,1.23616126616859,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.16148628417033,2.14008912965686,20240,1.16148628417033,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.91433256114362,2.92651981808152,20270,1.91433256114362,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1,1,20301,1,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.10455763967764,2.46389454770397,20332,1.10455763967764,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.62513651444876,2.92817539264594,20362,1.62513651444876,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.97523757070806,2.64745065177283,20393,1.97523757070806,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.29231665954573,2.14050605963764,20454,1.29231665954573,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.68703077631778,3.05150742147704,20485,1.68703077631778,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.67342722718183,2.14122850341046,NA,1.67342722718183,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.23607509545845,1.38458923924017,19905,1.23607509545845,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.22316738748744,1.38948362493601,19936,1.22316738748744,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.20572288191195,1.39769766471886,19967,1.20572288191195,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25905938175168,1.43735379962013,19997,1.25905938175168,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.2427938292678,1.42100850568203,20028,1.2427938292678,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.22089284211888,1.39384317354276,20058,1.22089284211888,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25344162420262,1.41090541836554,20089,1.25344162420262,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25060388376506,1.43319829158264,20120,1.25060388376506,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.30805369091296,1.4954341325879,20240,1.30805369091296,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.23655159186637,1.42032155891901,20270,1.23655159186637,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.30632987071961,1.50552765907378,20301,1.30632987071961,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.27534454732612,1.47814693032809,20332,1.27534454732612,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.24450037380526,1.41825982312334,20362,1.24450037380526,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.3461807760312,1.55125524022861,20393,1.3461807760312,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.21329185821205,1.38319295026716,20454,1.21329185821205,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.02373350960739,1.38120684506179,20485,1.02373350960739,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.37682244993485,1.4546503677969,NA,1.37682244993485,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
NA,1.95848651489056,19905,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.3997241703367,2.63326554099372,19936,1.3997241703367,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.71180159874399,2.29095482949625,19967,1.71180159874399,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.3065177132484,1.87433483014957,19997,1.3065177132484,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.535528013347,20028,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.01900071519621,2.03221023827061,20058,1.01900071519621,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.22586991776793,2.74856226268034,20089,1.22586991776793,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.97279072560916,20120,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.56507363783675,20240,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.38678137697457,2.75525845125311,20270,1.38678137697457,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,2.66538836058931,20301,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.69469766412004,2.83243580386742,20332,1.69469766412004,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.61118199864715,2.9355955547843,20362,1.61118199864715,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.37369409457653,2.5524365961303,20393,1.37369409457653,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.20888920941576,1.99821834763951,20454,1.20888920941576,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.5682550625572,3.11494265472616,20485,1.5682550625572,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.53425305422702,2.09207848865933,NA,1.53425305422702,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
